position,total_measurements,total_sessions,mean_rssi,std_rssi,mean_packets_per_session
start,867,12,-66.02191464821223,6.677889443180342,72.25
center,1031,12,-51.95635305528613,7.698886307525382,85.91666666666667
end,841,12,-65.01902497027348,6.511134748632678,70.08333333333333
