name,time,advertising_interval,sequence_number
rssi,2024-04-02 14:55:58.058,1000,1
rssi,2024-04-02 14:55:59.059,1000,2
rssi,2024-04-02 14:56:00.000,1000,3
rssi,2024-04-02 14:56:01.001,1000,4
rssi,2024-04-02 14:56:02.002,1000,5
rssi,2024-04-02 14:56:03.003,1000,6
rssi,2024-04-02 14:56:04.004,1000,7
rssi,2024-04-02 14:56:05.005,1000,8
rssi,2024-04-02 14:56:06.006,1000,9
rssi,2024-04-02 14:56:07.007,1000,10
rssi,2024-04-02 14:56:08.008,1000,11
rssi,2024-04-02 14:56:09.009,1000,12
rssi,2024-04-02 14:56:10.010,1000,13
rssi,2024-04-02 14:56:11.011,1000,14
rssi,2024-04-02 14:56:12.012,1000,15
rssi,2024-04-02 14:56:13.013,1000,16
rssi,2024-04-02 14:56:14.014,1000,17
rssi,2024-04-02 14:56:15.015,1000,18
rssi,2024-04-02 14:56:16.016,1000,19
rssi,2024-04-02 14:56:17.017,1000,20
rssi,2024-04-02 14:56:18.018,1000,21
rssi,2024-04-02 14:56:19.019,1000,22
rssi,2024-04-02 14:56:20.020,1000,23
rssi,2024-04-02 14:56:21.021,1000,24
rssi,2024-04-02 14:56:22.022,1000,25
rssi,2024-04-02 14:57:38.038,1000,1
rssi,2024-04-02 14:57:39.039,1000,2
rssi,2024-04-02 14:57:40.040,1000,3
rssi,2024-04-02 14:57:41.041,1000,4
rssi,2024-04-02 14:57:42.042,1000,5
rssi,2024-04-02 14:57:43.043,1000,6
rssi,2024-04-02 14:57:44.044,1000,7
rssi,2024-04-02 14:57:45.045,1000,8
rssi,2024-04-02 14:57:46.046,1000,9
rssi,2024-04-02 14:57:47.047,1000,10
rssi,2024-04-02 14:57:48.048,1000,11
rssi,2024-04-02 14:57:49.049,1000,12
rssi,2024-04-02 14:57:50.050,1000,13
rssi,2024-04-02 14:57:51.051,1000,14
rssi,2024-04-02 14:57:52.052,1000,15
rssi,2024-04-02 14:57:53.053,1000,16
rssi,2024-04-02 14:57:54.054,1000,17
rssi,2024-04-02 14:57:55.055,1000,18
rssi,2024-04-02 14:57:56.056,1000,19
rssi,2024-04-02 14:57:57.057,1000,20
rssi,2024-04-02 14:57:58.058,1000,21
rssi,2024-04-02 14:57:59.059,1000,22
rssi,2024-04-02 14:58:00.000,1000,23
rssi,2024-04-02 14:58:01.001,1000,24
rssi,2024-04-02 14:58:02.002,1000,25
rssi,2024-04-02 14:59:01.001,1000,1
rssi,2024-04-02 14:59:02.002,1000,2
rssi,2024-04-02 14:59:03.003,1000,3
rssi,2024-04-02 14:59:04.004,1000,4
rssi,2024-04-02 14:59:05.005,1000,5
rssi,2024-04-02 14:59:06.006,1000,6
rssi,2024-04-02 14:59:07.007,1000,7
rssi,2024-04-02 14:59:08.008,1000,8
rssi,2024-04-02 14:59:09.009,1000,9
rssi,2024-04-02 14:59:10.010,1000,10
rssi,2024-04-02 14:59:11.011,1000,11
rssi,2024-04-02 14:59:12.012,1000,12
rssi,2024-04-02 14:59:13.013,1000,13
rssi,2024-04-02 14:59:14.014,1000,14
rssi,2024-04-02 14:59:15.015,1000,15
rssi,2024-04-02 14:59:16.016,1000,16
rssi,2024-04-02 14:59:17.017,1000,17
rssi,2024-04-02 14:59:18.018,1000,18
rssi,2024-04-02 14:59:19.019,1000,19
rssi,2024-04-02 14:59:20.020,1000,20
rssi,2024-04-02 14:59:21.021,1000,21
rssi,2024-04-02 14:59:22.022,1000,22
rssi,2024-04-02 14:59:23.023,1000,23
rssi,2024-04-02 14:59:24.024,1000,24
