name,time,addr,device,mean,rssi,sd
rssi,1675254932572959000,d74adea29cf7,rasp0,-57,-57,0
rssi,1675254932848270000,d74adea29cf7,rasp0,-58.5,-60,1.5
rssi,1675254933513812000,d74adea29cf7,rasp0,-58.666666666666664,-59,1.247219128924647
rssi,1675254933932730000,d74adea29cf7,rasp0,-59.25,-61,1.479019945774904
rssi,1675254935371208000,d74adea29cf7,rasp0,-59.4,-60,1.3564659966250538
rssi,1675254935878659000,d74adea29cf7,rasp0,-59.833333333333336,-62,1.5723301886761005
rssi,1675254936828749000,d74adea29cf7,rasp0,-60.142857142857146,-62,1.6413036132965795
rssi,1675254938343439000,d74adea29cf7,rasp0,-59.75,-57,1.8540496217739157
rssi,1675254938844839000,d74adea29cf7,rasp0,-60,-62,1.8856180831641267
rssi,1675254939854699000,d74adea29cf7,rasp0,-60.3,-63,2.0024984394500787
rssi,1675254940859999000,d74adea29cf7,rasp0,-60.3,-57,2.0024984394500787
rssi,1675254941446753000,d74adea29cf7,rasp0,-60.6,-63,2.1540659228538015
rssi,1675254941820576000,d74adea29cf7,rasp0,-61.1,-64,2.3
rssi,1675254942329602000,d74adea29cf7,rasp0,-61.7,-67,2.9
rssi,1675254943838645000,d74adea29cf7,rasp0,-61.4,-57,3.2
rssi,1675254944343635000,d74adea29cf7,rasp0,-62.3,-71,4.313930922024599
rssi,1675254944847063000,d74adea29cf7,rasp0,-63.1,-70,4.887739763939974
rssi,1675254945855054000,d74adea29cf7,rasp0,-63.7,-63,4.450842616853577
rssi,1675254946833982000,d74adea29cf7,rasp0,-63.8,-63,4.422668877499196
rssi,1675254947328946000,d74adea29cf7,rasp0,-64.2,-67,4.512205669071391
rssi,1675254947844992000,d74adea29cf7,rasp0,-64.3,-58,4.360045871318328
rssi,1675254948359169000,d74adea29cf7,rasp0,-63.8,-58,4.749736834815167
rssi,1675254948867175000,d74adea29cf7,rasp0,-63.7,-63,4.754997371187496
rssi,1675254951001116000,d74adea29cf7,rasp0,-63.3,-63,4.627094120503711
rssi,1675254952906216000,d74adea29cf7,rasp0,-63.9,-63,4.1340053217188775
rssi,1675254953419483000,d74adea29cf7,rasp0,-63.5,-67,3.5846896657869842
rssi,1675254953959070000,d74adea29cf7,rasp0,-63.4,-69,3.411744421846396
rssi,1675254954501097000,d74adea29cf7,rasp0,-62.9,-58,3.78021163428716
rssi,1675254955205549000,d74adea29cf7,rasp0,-62.4,-58,4.054626986542659
rssi,1675254955952804000,d74adea29cf7,rasp0,-62.1,-64,3.8065732621348563
rssi,1675254956607406000,d74adea29cf7,rasp0,-62.1,-58,3.806573262134856
rssi,1675254957419229000,d74adea29cf7,rasp0,-62.7,-64,3.579106033634656
rssi,1675254957922267000,d74adea29cf7,rasp0,-62.7,-63,3.5791060336346563
rssi,1675254959449665000,d74adea29cf7,rasp0,-63.3,-69,4.050925820105819
rssi,1675254959954194000,d74adea29cf7,rasp0,-62.8,-58,4.354308211415448
rssi,1675254960967210000,d74adea29cf7,rasp0,-64,-79,6.48074069840786
rssi,1675254961428711000,d74adea29cf7,rasp0,-64.6,-75,7.158212067269312
rssi,1675254961932318000,d74adea29cf7,rasp0,-66.4,-76,7.525955088890711
rssi,1675254962437031000,d74adea29cf7,rasp0,-68,-74,7.26636084983398
rssi,1675254962946028000,d74adea29cf7,rasp0,-69.7,-81,8.075270893288968
rssi,1675254963447633000,d74adea29cf7,rasp0,-71.6,-77,7.296574538781879
rssi,1675254963951132000,d74adea29cf7,rasp0,-72,-68,6.971370023173351
rssi,1675254965474536000,d74adea29cf7,rasp0,-71.9,-62,7.105631569396206
rssi,1675254965985920000,d74adea29cf7,rasp0,-71.2,-62,7.678541528180987
rssi,1675254966441161000,d74adea29cf7,rasp0,-71.7,-63,6.928924880528004
rssi,1675254967450080000,d74adea29cf7,rasp0,-70.3,-65,6.723838189605696
rssi,1675254968182670000,d74adea29cf7,rasp0,-68.6,-58,7.432361670424818
rssi,1675254968463169000,d74adea29cf7,rasp0,-66.7,-57,7.7207512587830465
rssi,1675254968965580000,d74adea29cf7,rasp0,-65.5,-62,7.419568720619818
rssi,1675254969485783000,d74adea29cf7,rasp0,-63.8,-64,5.325410782277739
rssi,1675254969977775000,d74adea29cf7,rasp0,-62.5,-64,3.0413812651491097
rssi,1675254970485449000,d74adea29cf7,rasp0,-61.4,-57,2.8354893757515653
rssi,1675254971448402000,d74adea29cf7,rasp0,-61.5,-63,2.8722813232690143
rssi,1675254972453668000,d74adea29cf7,rasp0,-61.6,-63,2.90516780926679
rssi,1675254973459335000,d74adea29cf7,rasp0,-61.4,-61,2.870540018881465
rssi,1675254973961089000,d74adea29cf7,rasp0,-60.6,-57,2.8705400188814645
rssi,1675254974469830000,d74adea29cf7,rasp0,-61,-62,2.756809750418044
rssi,1675254975983397000,d74adea29cf7,rasp0,-61.3,-60,2.451530134426253
rssi,1675254976641934000,d74adea29cf7,rasp0,-61.3,-62,2.451530134426253
rssi,1675254976968960000,d74adea29cf7,rasp0,-60.5,-56,2.7294688127912363
rssi,1675254977511322000,d74adea29cf7,rasp0,-60.4,-63,2.6153393661244038
rssi,1675254978005428000,d74adea29cf7,rasp0,-60.4,-57,2.6153393661244038
