name,time,addr,device,mean,rssi,sd
rssi,1676033009344866000,d74adea29cf7,rasp0,-74,-74,0
rssi,1676033009855403000,d74adea29cf7,rasp0,-73.5,-73,0.5
rssi,1676033010936393000,d74adea29cf7,rasp0,-74.33333333333333,-76,1.247219128924647
rssi,1676033011828272000,d74adea29cf7,rasp0,-74.25,-74,1.0897247358851685
rssi,1676033012840761000,d74adea29cf7,rasp0,-74.2,-74,0.9797958971132711
rssi,1676033014360334000,d74adea29cf7,rasp0,-74.33333333333333,-75,0.9428090415820634
rssi,1676033016830915000,d74adea29cf7,rasp0,-74.42857142857143,-75,0.9035079029052513
rssi,1676033019375167000,d74adea29cf7,rasp0,-76.125,-88,4.567206476611277
rssi,1676033019879844000,d74adea29cf7,rasp0,-75.88888888888889,-74,4.35748256691724
rssi,1676033020379912000,d74adea29cf7,rasp0,-75.8,-75,4.142463035441596
rssi,1676033023431108000,d74adea29cf7,rasp0,-76.1,-77,4.109744517606903
rssi,1676033024930783000,d74adea29cf7,rasp0,-76.3,-75,4.001249804748512
rssi,1676033025876255000,d74adea29cf7,rasp0,-76.5,-78,4.031128874149275
rssi,1676033027342042000,d74adea29cf7,rasp0,-76.6,-75,3.9799497484264794
rssi,1676033028936036000,d74adea29cf7,rasp0,-76.5,-73,4.05585995813465
rssi,1676033029550594000,d74adea29cf7,rasp0,-76.6,-76,4.029888335921977
rssi,1676033030088461000,d74adea29cf7,rasp0,-76.6,-75,4.029888335921977
rssi,1676033032254963000,d74adea29cf7,rasp0,-75.3,-75,1.3453624047073711
rssi,1676033033749350000,d74adea29cf7,rasp0,-75.4,-75,1.2806248474865698
rssi,1676033035245090000,d74adea29cf7,rasp0,-75.6,-77,1.3564659966250536
rssi,1676033035853962000,d74adea29cf7,rasp0,-75.4,-75,1.2806248474865698
rssi,1676033036805004000,d74adea29cf7,rasp0,-75.5,-76,1.284523257866513
rssi,1676033038197136000,d74adea29cf7,rasp0,-74.3,-66,2.9342801502242417
rssi,1676033039206091000,d74adea29cf7,rasp0,-74,-72,3
rssi,1676033040700902000,d74adea29cf7,rasp0,-74.6,-79,3.32264954516723
rssi,1676033043309566000,d74adea29cf7,rasp0,-74.6,-76,3.32264954516723
rssi,1676033043667752000,d74adea29cf7,rasp0,-73.8,-67,4.019950248448356
rssi,1676033045383135000,d74adea29cf7,rasp0,-73.8,-75,4.019950248448356
rssi,1676033049788869000,d74adea29cf7,rasp0,-73.7,-74,4.001249804748511
rssi,1676033050693225000,d74adea29cf7,rasp0,-73.3,-73,3.8483762809787714
rssi,1676033051259966000,d74adea29cf7,rasp0,-73.6,-78,4.079215610874227
rssi,1676033052131311000,d74adea29cf7,rasp0,-73.8,-78,4.237924020083418
rssi,1676033054160265000,d74adea29cf7,rasp0,-75,-78,3.492849839314596
rssi,1676033055251315000,d74adea29cf7,rasp0,-75.3,-75,3.348133808556642
rssi,1676033055676356000,d74adea29cf7,rasp0,-74.9,-75,3.1128764832546763
rssi,1676033056256425000,d74adea29cf7,rasp0,-74.9,-76,3.1128764832546763
rssi,1676033056622461000,d74adea29cf7,rasp0,-75.6,-74,1.7435595774162693
rssi,1676033057659197000,d74adea29cf7,rasp0,-75.8,-77,1.7776388834631176
rssi,1676033058127504000,d74adea29cf7,rasp0,-75.3,-69,2.6851443164195103
rssi,1676033059632035000,d74adea29cf7,rasp0,-76,-80,2.898275349237888
rssi,1676033060646916000,d74adea29cf7,rasp0,-76.5,-83,3.556683848755748
rssi,1676033062121836000,d74adea29cf7,rasp0,-75.4,-67,4.498888751680797
rssi,1676033062625382000,d74adea29cf7,rasp0,-74.9,-73,4.459820624195552
rssi,1676033063128675000,d74adea29cf7,rasp0,-75.3,-79,4.62709412050371
rssi,1676033065137800000,d74adea29cf7,rasp0,-74.6,-68,5.122499389946279
rssi,1676033068125608000,d74adea29cf7,rasp0,-74.3,-73,5.119570294468081
rssi,1676033068745383000,d74adea29cf7,rasp0,-73.9,-70,5.281098370604358
rssi,1676033069140166000,d74adea29cf7,rasp0,-73.2,-70,5.287721626560914
rssi,1676033069713871000,d74adea29cf7,rasp0,-73.7,-74,5.1
rssi,1676033070264432000,d74adea29cf7,rasp0,-72.4,-67,4.983974317750845
rssi,1676033072622656000,d74adea29cf7,rasp0,-71.2,-71,3.515679166249389
