name,time,addr,device,mean,rssi,sd
rssi,1676032837774265000,d74adea29cf7,rasp0,-76,-76,0
rssi,1676032839001701000,d74adea29cf7,rasp0,-72,-68,4
rssi,1676032840242900000,d74adea29cf7,rasp0,-70.33333333333333,-67,4.0276819911981905
rssi,1676032840748423000,d74adea29cf7,rasp0,-72.25,-78,4.815340071064556
rssi,1676032842222408000,d74adea29cf7,rasp0,-71,-66,4.979959839195493
rssi,1676032845260569000,d74adea29cf7,rasp0,-71,-71,4.546060565661952
rssi,1676032845810201000,d74adea29cf7,rasp0,-70.57142857142857,-68,4.337778985911137
rssi,1676032847232525000,d74adea29cf7,rasp0,-70.375,-69,4.090767042988393
rssi,1676032849255561000,d74adea29cf7,rasp0,-70.77777777777777,-74,4.0215469046341905
rssi,1676032850366222000,d74adea29cf7,rasp0,-70.6,-69,3.8522720568516444
rssi,1676032850770644000,d74adea29cf7,rasp0,-70.2,-72,3.4583232931581165
rssi,1676032851724086000,d74adea29cf7,rasp0,-70.9,-75,3.645545226711637
rssi,1676032853747652000,d74adea29cf7,rasp0,-70.8,-66,3.7629775444453557
rssi,1676032855269343000,d74adea29cf7,rasp0,-69.9,-69,2.913760456866693
rssi,1676032855959669000,d74adea29cf7,rasp0,-70,-67,2.792848008753788
rssi,1676032856809200000,d74adea29cf7,rasp0,-70.8,-79,3.8935844667863573
rssi,1676032858246076000,d74adea29cf7,rasp0,-70.9,-69,3.8327535793473597
rssi,1676032861740092000,d74adea29cf7,rasp0,-70.6,-66,4.079215610874227
rssi,1676032863253796000,d74adea29cf7,rasp0,-71.1,-79,4.72122865364515
rssi,1676032865381593000,d74adea29cf7,rasp0,-71.6,-74,4.737087712930804
rssi,1676032866359340000,d74adea29cf7,rasp0,-71.8,-74,4.791659420284375
rssi,1676032868794356000,d74adea29cf7,rasp0,-71.4,-71,4.673328578219168
rssi,1676032870779900000,d74adea29cf7,rasp0,-72,-72,4.312771730569565
rssi,1676032871900468000,d74adea29cf7,rasp0,-72.6,-75,4.2708313008125245
rssi,1676032873827801000,d74adea29cf7,rasp0,-73.3,-74,3.8483762809787714
rssi,1676032879775171000,d74adea29cf7,rasp0,-74.1,-87,5.448853090330111
rssi,1676032888795584000,d74adea29cf7,rasp0,-74.4,-72,5.238320341483519
rssi,1676032889826207000,d74adea29cf7,rasp0,-75.3,-75,4.428317965096906
rssi,1676032891766874000,d74adea29cf7,rasp0,-74.8,-74,4.261455150532503
rssi,1676032892310439000,d74adea29cf7,rasp0,-74.9,-75,4.253234063627347
rssi,1676032894292735000,d74adea29cf7,rasp0,-74.8,-73,4.284857057125709
rssi,1676032895305732000,d74adea29cf7,rasp0,-74.7,-70,4.382921400162226
rssi,1676032895815538000,d74adea29cf7,rasp0,-74.3,-68,4.775981574503821
rssi,1676032897270491000,d74adea29cf7,rasp0,-74.2,-74,4.770744176750625
rssi,1676032899371664000,d74adea29cf7,rasp0,-74,-72,4.8166378315169185
rssi,1676032900310369000,d74adea29cf7,rasp0,-72.6,-73,2.1071307505705477
rssi,1676032906341750000,d74adea29cf7,rasp0,-73.5,-81,3.263433774416144
rssi,1676032907281921000,d74adea29cf7,rasp0,-73.8,-78,3.515679166249389
rssi,1676032908790030000,d74adea29cf7,rasp0,-73.8,-74,3.515679166249389
rssi,1676032911321435000,d74adea29cf7,rasp0,-73.9,-76,3.5623026261113755
rssi,1676032911771594000,d74adea29cf7,rasp0,-74.2,-76,3.6
rssi,1676032913928850000,d74adea29cf7,rasp0,-74.8,-76,3.340658617698013
