distance,position,orientation,inter_run_mean_std,mean_rssi_across_runs,mean_within_run_std,runs_available,coefficient_of_variation
3,center,los,5.461127359532742,-44.96388888888888,4.338639865104127,3,12.14558503386537
3,end,los,2.476144513814637,-68.17124826977584,4.6997014771471495,3,3.6322417099005238
3,start,los,3.345172268857198,-63.73603181574197,5.629361542217836,3,5.248479036987966
5,center,los,3.72858449896436,-53.549604743083,4.731187455000907,3,6.9628609153197925
5,end,los,0.9914393309479329,-65.42742267356962,7.037437102074409,3,1.5153268926615375
5,start,los,2.108148140379966,-67.063789104885,5.180621420085086,3,3.1434969131894843
7,center,los,4.798762866594197,-54.75651440063205,6.027596611715034,3,8.7638209245452
7,end,los,3.8839160780202144,-63.83666999629521,5.3559561592208915,3,6.0841458024762565
7,start,los,2.358672035218652,-66.51915864284736,6.423690524653488,3,3.545853680866233
9,center,los,4.567277060153711,-55.233010321245615,5.23900748659777,3,8.269107610810213
9,end,los,5.040301610166164,-64.95828276338021,5.440637399699907,3,7.759290110125264
9,start,los,7.512697947666581,-68.06057933835712,4.685217837611892,3,11.038251541054143
