time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:15:00,53.355555,-6.280334,83,0,0.548
2024-04-02 14:15:01,53.355555,-6.280334,83,0,0.548
2024-04-02 14:15:02,53.355555,-6.280334,83,0,0.548
2024-04-02 14:15:03,53.355555,-6.280334,83,0,0.548
2024-04-02 14:15:04,53.355558,-6.280335,84,1.2,0.548
2024-04-02 14:15:05,53.355566,-6.280328,84,3.3,0.549
2024-04-02 14:15:06,53.355575,-6.280327,84,3.7,0.55
2024-04-02 14:15:07,53.355584,-6.280321,84,4.1,0.551
2024-04-02 14:15:08,53.355589,-6.280324,84,2.2,0.552
2024-04-02 14:15:09,53.355593,-6.280323,84,1.6,0.552
2024-04-02 14:15:10,53.355599,-6.280318,85,2.5,0.553
2024-04-02 14:15:11,53.35561,-6.280317,84,4.2,0.554
2024-04-02 14:15:12,53.355617,-6.280313,84,3.2,0.555
2024-04-02 14:15:13,53.355628,-6.280306,84,4.7,0.556
2024-04-02 14:15:14,53.355639,-6.280293,84,5.4,0.558
2024-04-02 14:15:15,53.355648,-6.280286,84,4.1,0.559
2024-04-02 14:15:16,53.355659,-6.28028,84,4.5,0.56
2024-04-02 14:15:17,53.355669,-6.280277,84,4.1,0.561
2024-04-02 14:15:18,53.355682,-6.280272,84,5.4,0.563
2024-04-02 14:15:19,53.355695,-6.280265,84,5.6,0.564
2024-04-02 14:15:20,53.355705,-6.280258,83,4.3,0.566
2024-04-02 14:15:21,53.355716,-6.280256,83,4.3,0.567
2024-04-02 14:15:22,53.355722,-6.28026,83,2.9,0.568
2024-04-02 14:15:23,53.355724,-6.280268,83,2.1,0.568
2024-04-02 14:16:39,53.355571,-6.280322,80,0,0.6
2024-04-02 14:16:40,53.355571,-6.280322,80,0,0.6
2024-04-02 14:16:41,53.355571,-6.280322,80,0,0.6
2024-04-02 14:16:42,53.355569,-6.28032,81,0.7,0.6
2024-04-02 14:16:43,53.355575,-6.280325,81,2.7,0.601
2024-04-02 14:16:44,53.355583,-6.280325,80,3.2,0.602
2024-04-02 14:16:45,53.355595,-6.280322,80,4.5,0.603
2024-04-02 14:16:46,53.355602,-6.280315,81,3.4,0.604
2024-04-02 14:16:47,53.35561,-6.280316,81,3.1,0.605
2024-04-02 14:16:48,53.355615,-6.28032,81,2.3,0.605
2024-04-02 14:16:49,53.355623,-6.280314,82,3.6,0.606
2024-04-02 14:16:50,53.355632,-6.280313,82,3.6,0.607
2024-04-02 14:16:51,53.355641,-6.280309,82,3.6,0.608
2024-04-02 14:16:52,53.355654,-6.280294,83,6.4,0.61
2024-04-02 14:16:53,53.355665,-6.280282,83,5.3,0.612
2024-04-02 14:16:54,53.355673,-6.280279,83,3,0.613
2024-04-02 14:16:55,53.355683,-6.280278,83,4.3,0.614
2024-04-02 14:16:56,53.355696,-6.280273,83,5.1,0.615
2024-04-02 14:16:57,53.355707,-6.280265,83,4.8,0.616
2024-04-02 14:16:58,53.355716,-6.280256,83,4.3,0.618
2024-04-02 14:16:59,53.355729,-6.280247,82,5.6,0.619
2024-04-02 14:17:00,53.355736,-6.28025,82,2.9,0.62
2024-04-02 14:17:01,53.355737,-6.280261,82,2.6,0.621
2024-04-02 14:17:51,53.355565,-6.280361,80,0,0.644
2024-04-02 14:17:52,53.355565,-6.280361,80,0,0.644
2024-04-02 14:17:53,53.355565,-6.280361,80,0,0.644
2024-04-02 14:17:54,53.355567,-6.280356,80,1.4,0.644
2024-04-02 14:17:55,53.355573,-6.280353,80,2.2,0.645
2024-04-02 14:17:56,53.355579,-6.280353,80,2.6,0.646
2024-04-02 14:17:57,53.355585,-6.280352,80,2.3,0.646
2024-04-02 14:17:58,53.355592,-6.280347,80,3.1,0.647
2024-04-02 14:17:59,53.355599,-6.280346,80,3,0.648
2024-04-02 14:18:00,53.35561,-6.280336,80,4.9,0.649
2024-04-02 14:18:01,53.355619,-6.280326,80,4.4,0.651
2024-04-02 14:18:02,53.355631,-6.28032,80,4.9,0.652
2024-04-02 14:18:03,53.35564,-6.280319,80,3.6,0.653
2024-04-02 14:18:04,53.355653,-6.280311,79,5.5,0.655
2024-04-02 14:18:05,53.355664,-6.280307,80,4.4,0.656
2024-04-02 14:18:06,53.355674,-6.280296,79,4.8,0.657
2024-04-02 14:18:07,53.355686,-6.280286,80,5.4,0.659
2024-04-02 14:18:08,53.355698,-6.280274,80,5.7,0.66
2024-04-02 14:18:09,53.355708,-6.280274,80,3.8,0.661
2024-04-02 14:18:10,53.355717,-6.280267,80,4.2,0.662
2024-04-02 14:18:11,53.355729,-6.280259,80,5.2,0.664
2024-04-02 14:18:12,53.35574,-6.280251,80,4.8,0.665
2024-04-02 14:18:13,53.355745,-6.280248,81,2,0.666
