name,time,addr,device,mean,rssi,sd
rssi,1675257916723976000,d74adea29cf7,rasp0,-45,-45,0
rssi,1675257917729008000,d74adea29cf7,rasp0,-48.5,-52,3.5
rssi,1675257918238143000,d74adea29cf7,rasp0,-48.333333333333336,-48,2.8674417556808756
rssi,1675257918745528000,d74adea29cf7,rasp0,-49.25,-52,2.947456530637899
rssi,1675257919759203000,d74adea29cf7,rasp0,-49.2,-49,2.638181191654584
rssi,1675257920768983000,d74adea29cf7,rasp0,-49,-48,2.449489742783178
rssi,1675257921215431000,d74adea29cf7,rasp0,-49,-49,2.2677868380553634
rssi,1675257921717215000,d74adea29cf7,rasp0,-48.5,-45,2.5
rssi,1675257922227203000,d74adea29cf7,rasp0,-48.111111111111114,-45,2.6010444246043614
rssi,1675257923360402000,d74adea29cf7,rasp0,-48.2,-49,2.481934729198171
rssi,1675257924237381000,d74adea29cf7,rasp0,-48.4,-47,2.2891046284519194
rssi,1675257924742213000,d74adea29cf7,rasp0,-48.5,-53,2.4596747752497685
rssi,1675257925292499000,d74adea29cf7,rasp0,-48.2,-45,2.6758176320519307
rssi,1675257925753768000,d74adea29cf7,rasp0,-47.9,-49,2.3853720883753127
rssi,1675257926725947000,d74adea29cf7,rasp0,-47.5,-45,2.5
rssi,1675257928240894000,d74adea29cf7,rasp0,-47.5,-48,2.5
rssi,1675257928743494000,d74adea29cf7,rasp0,-48.3,-57,3.7960505792204615
rssi,1675257929754378000,d74adea29cf7,rasp0,-48.3,-45,3.7960505792204615
rssi,1675257930758360000,d74adea29cf7,rasp0,-48.7,-49,3.63455636907725
rssi,1675257931212059000,d74adea29cf7,rasp0,-48.7,-49,3.63455636907725
rssi,1675257931718168000,d74adea29cf7,rasp0,-49.5,-55,4.031128874149275
rssi,1675257932221826000,d74adea29cf7,rasp0,-49,-48,3.872983346207417
rssi,1675257932727749000,d74adea29cf7,rasp0,-50,-55,4
rssi,1675257933734558000,d74adea29cf7,rasp0,-50,-49,4
rssi,1675257934240556000,d74adea29cf7,rasp0,-50.3,-48,3.716180835212409
rssi,1675257934747721000,d74adea29cf7,rasp0,-50,-45,4
rssi,1675257935247926000,d74adea29cf7,rasp0,-49.6,-53,3.4409301068170506
rssi,1675257935749614000,d74adea29cf7,rasp0,-49.6,-45,3.4409301068170506
rssi,1675257936221698000,d74adea29cf7,rasp0,-49.5,-48,3.4713109915419564
rssi,1675257936728621000,d74adea29cf7,rasp0,-49.8,-52,3.5440090293338704
rssi,1675257937238487000,d74adea29cf7,rasp0,-49.1,-48,3.1128764832546763
rssi,1675257938747975000,d74adea29cf7,rasp0,-49.2,-49,3.0919249667480617
rssi,1675257939253121000,d74adea29cf7,rasp0,-48.2,-45,2.638181191654584
rssi,1675257939759909000,d74adea29cf7,rasp0,-48.8,-55,3.340658617698013
rssi,1675257940261044000,d74adea29cf7,rasp0,-48.9,-49,3.3301651610693423
rssi,1675257940764830000,d74adea29cf7,rasp0,-49,-46,3.22490309931942
rssi,1675257941373046000,d74adea29cf7,rasp0,-48.6,-49,2.9393876913398134
rssi,1675257941732434000,d74adea29cf7,rasp0,-48.6,-45,2.9393876913398134
rssi,1675257942431296000,d74adea29cf7,rasp0,-48.7,-49,2.9342801502242417
rssi,1675257942729144000,d74adea29cf7,rasp0,-48.1,-46,2.808914381037628
rssi,1675257943742547000,d74adea29cf7,rasp0,-47.9,-46,2.879236009777594
rssi,1675257944756469000,d74adea29cf7,rasp0,-48.2,-52,3.1240998703626617
rssi,1675257945766684000,d74adea29cf7,rasp0,-48.2,-45,3.1240998703626617
rssi,1675257946262758000,d74adea29cf7,rasp0,-47.5,-48,2.1563858652847827
rssi,1675257946814933000,d74adea29cf7,rasp0,-47.1,-45,2.211334438749598
rssi,1675257947224960000,d74adea29cf7,rasp0,-47.3,-48,2.1931712199461306
rssi,1675257947732574000,d74adea29cf7,rasp0,-47.6,-52,2.5768197453450252
rssi,1675257948240992000,d74adea29cf7,rasp0,-47.5,-44,2.692582403567252
rssi,1675257948746321000,d74adea29cf7,rasp0,-47.3,-47,2.6476404589747453
rssi,1675257949750076000,d74adea29cf7,rasp0,-47.5,-48,2.6172504656604803
rssi,1675257950761108000,d74adea29cf7,rasp0,-47.6,-47,2.5768197453450252
rssi,1675257951209144000,d74adea29cf7,rasp0,-47.1,-47,2.118962010041709
rssi,1675257952740766000,d74adea29cf7,rasp0,-47,-44,2.23606797749979
rssi,1675257953231818000,d74adea29cf7,rasp0,-47.5,-53,2.8722813232690143
rssi,1675257953741736000,d74adea29cf7,rasp0,-47.4,-44,2.973213749463701
rssi,1675257954249978000,d74adea29cf7,rasp0,-47.5,-49,3.0083217912982647
rssi,1675257955256798000,d74adea29cf7,rasp0,-46.7,-44,2.758622844826744
rssi,1675257956714177000,d74adea29cf7,rasp0,-47.1,-48,2.6248809496813372
rssi,1675257957224016000,d74adea29cf7,rasp0,-46.9,-45,2.6999999999999997
