name,time,advertising_interval,sequence_number
rssi,2024-04-02 14:26:15.015,100,1
rssi,2024-04-02 14:26:15.015,100,2
rssi,2024-04-02 14:26:16.016,100,3
rssi,2024-04-02 14:26:16.016,100,4
rssi,2024-04-02 14:26:16.016,100,5
rssi,2024-04-02 14:26:16.016,100,6
rssi,2024-04-02 14:26:16.016,100,7
rssi,2024-04-02 14:26:16.016,100,8
rssi,2024-04-02 14:26:16.016,100,9
rssi,2024-04-02 14:26:16.016,100,10
rssi,2024-04-02 14:26:16.016,100,11
rssi,2024-04-02 14:26:17.017,100,12
rssi,2024-04-02 14:26:17.017,100,13
rssi,2024-04-02 14:26:17.017,100,14
rssi,2024-04-02 14:26:17.017,100,15
rssi,2024-04-02 14:26:17.017,100,16
rssi,2024-04-02 14:26:17.017,100,17
rssi,2024-04-02 14:26:17.017,100,18
rssi,2024-04-02 14:26:17.017,100,19
rssi,2024-04-02 14:26:17.017,100,20
rssi,2024-04-02 14:26:17.017,100,21
rssi,2024-04-02 14:26:18.018,100,22
rssi,2024-04-02 14:26:18.018,100,23
rssi,2024-04-02 14:26:18.018,100,24
rssi,2024-04-02 14:26:18.018,100,25
rssi,2024-04-02 14:26:18.018,100,26
rssi,2024-04-02 14:26:18.018,100,27
rssi,2024-04-02 14:26:18.018,100,28
rssi,2024-04-02 14:26:18.018,100,29
rssi,2024-04-02 14:26:18.018,100,30
rssi,2024-04-02 14:26:18.018,100,31
rssi,2024-04-02 14:26:19.019,100,32
rssi,2024-04-02 14:26:19.019,100,33
rssi,2024-04-02 14:26:19.019,100,34
rssi,2024-04-02 14:26:19.019,100,35
rssi,2024-04-02 14:26:19.019,100,36
rssi,2024-04-02 14:26:19.019,100,37
rssi,2024-04-02 14:26:19.019,100,38
rssi,2024-04-02 14:26:19.019,100,39
rssi,2024-04-02 14:26:19.019,100,40
rssi,2024-04-02 14:26:20.020,100,41
rssi,2024-04-02 14:26:20.020,100,42
rssi,2024-04-02 14:26:20.020,100,43
rssi,2024-04-02 14:26:20.020,100,44
rssi,2024-04-02 14:26:20.020,100,45
rssi,2024-04-02 14:26:20.020,100,46
rssi,2024-04-02 14:26:20.020,100,47
rssi,2024-04-02 14:26:20.020,100,48
rssi,2024-04-02 14:26:20.020,100,49
rssi,2024-04-02 14:26:20.020,100,50
rssi,2024-04-02 14:26:21.021,100,51
rssi,2024-04-02 14:26:21.021,100,52
rssi,2024-04-02 14:26:21.021,100,53
rssi,2024-04-02 14:26:21.021,100,54
rssi,2024-04-02 14:26:21.021,100,55
rssi,2024-04-02 14:26:21.021,100,56
rssi,2024-04-02 14:26:21.021,100,57
rssi,2024-04-02 14:26:21.021,100,58
rssi,2024-04-02 14:26:21.021,100,59
rssi,2024-04-02 14:26:21.021,100,60
rssi,2024-04-02 14:26:22.022,100,61
rssi,2024-04-02 14:26:22.022,100,62
rssi,2024-04-02 14:26:22.022,100,63
rssi,2024-04-02 14:26:22.022,100,64
rssi,2024-04-02 14:26:22.022,100,65
