model,mae,rmse,r2
log_distance,109.47353144616383,311.7707979443957,-17032.545961224838
random_forest,2.0503308123249298,2.426470562036936,-0.07472243509634957
svr,1.9004392585524346,2.81519446292173,-0.4466486317291847
