,correlation
max,-0.16216347832267186
mean,-0.1571376263402938
q75,-0.15507456624323912
min,-0.1504764642057758
median,-0.14928065071205768
q25,-0.13920940541965143
max_change,-0.11242759416068317
std,0.09858960499033204
kurtosis,-0.09653958285892436
rate_of_change,0.04397353754040201
range,0.01826533527778148
iqr,-0.01746393572476159
variation_coeff,-0.010061440884622571
skewness,-0.0014594916535396359
run,6.756602160542352e-17
