position,mean_dwell_time,std_dwell_time,median_dwell_time,total_sessions,mean_packets,mean_rssi
start,71.40216008333333,23.22105857389804,62.527103,12,72.25,-66.34488972545786
center,62.379142583333326,1.5566900762474125,62.1792395,12,85.91666666666667,-52.1257545884624
end,62.19786383333334,1.7825131729036563,61.939819,12,70.08333333333333,-65.59840592575522
