name,time,advertising_interval,sequence_number
rssi,2024-04-02 13:58:22,1000,1
rssi,2024-04-02 13:58:23,1000,2
rssi,2024-04-02 13:58:24,1000,3
rssi,2024-04-02 13:58:25,1000,4
rssi,2024-04-02 13:58:26,1000,5
rssi,2024-04-02 13:58:27,1000,6
rssi,2024-04-02 13:58:28,1000,7
rssi,2024-04-02 13:58:29,1000,8
rssi,2024-04-02 13:58:30,1000,9
rssi,2024-04-02 13:58:31,1000,10
rssi,2024-04-02 13:58:32,1000,11
rssi,2024-04-02 13:58:33,1000,12
rssi,2024-04-02 13:58:34,1000,13
rssi,2024-04-02 13:58:35,1000,14
rssi,2024-04-02 13:58:36,1000,15
rssi,2024-04-02 13:58:37,1000,16
rssi,2024-04-02 13:58:38,1000,17
rssi,2024-04-02 13:58:39,1000,18
rssi,2024-04-02 13:58:40,1000,19
rssi,2024-04-02 13:58:41,1000,20
rssi,2024-04-02 13:58:42,1000,21
rssi,2024-04-02 13:58:43,1000,22
rssi,2024-04-02 13:58:44,1000,23
rssi,2024-04-02 13:59:51,1000,1
rssi,2024-04-02 13:59:52,1000,2
rssi,2024-04-02 13:59:53,1000,3
rssi,2024-04-02 13:59:54,1000,4
rssi,2024-04-02 13:59:55,1000,5
rssi,2024-04-02 13:59:56,1000,6
rssi,2024-04-02 13:59:57,1000,7
rssi,2024-04-02 13:59:58,1000,8
rssi,2024-04-02 13:59:59,1000,9
rssi,2024-04-02 14:00:00,1000,10
rssi,2024-04-02 14:00:01,1000,11
rssi,2024-04-02 14:00:02,1000,12
rssi,2024-04-02 14:00:03,1000,13
rssi,2024-04-02 14:00:04,1000,14
rssi,2024-04-02 14:00:05,1000,15
rssi,2024-04-02 14:00:06,1000,16
rssi,2024-04-02 14:00:07,1000,17
rssi,2024-04-02 14:00:08,1000,18
rssi,2024-04-02 14:00:09,1000,19
rssi,2024-04-02 14:00:10,1000,20
rssi,2024-04-02 14:00:11,1000,21
rssi,2024-04-02 14:00:12,1000,22
rssi,2024-04-02 14:00:13,1000,23
rssi,2024-04-02 14:00:14,1000,24
rssi,2024-04-02 14:00:15,1000,25
rssi,2024-04-02 14:01:15,1000,1
rssi,2024-04-02 14:01:16,1000,2
rssi,2024-04-02 14:01:17,1000,3
rssi,2024-04-02 14:01:18,1000,4
rssi,2024-04-02 14:01:19,1000,5
rssi,2024-04-02 14:01:20,1000,6
rssi,2024-04-02 14:01:21,1000,7
rssi,2024-04-02 14:01:22,1000,8
rssi,2024-04-02 14:01:23,1000,9
rssi,2024-04-02 14:01:24,1000,10
rssi,2024-04-02 14:01:25,1000,11
rssi,2024-04-02 14:01:26,1000,12
rssi,2024-04-02 14:01:27,1000,13
rssi,2024-04-02 14:01:28,1000,14
rssi,2024-04-02 14:01:29,1000,15
rssi,2024-04-02 14:01:30,1000,16
rssi,2024-04-02 14:01:31,1000,17
rssi,2024-04-02 14:01:32,1000,18
rssi,2024-04-02 14:01:33,1000,19
rssi,2024-04-02 14:01:34,1000,20
rssi,2024-04-02 14:01:35,1000,21
rssi,2024-04-02 14:01:36,1000,22
rssi,2024-04-02 14:01:37,1000,23
rssi,2024-04-02 14:01:38,1000,24
rssi,2024-04-02 14:01:39,1000,25
