name,time,addr,device,mean,rssi,sd
rssi,1675256576345049000,d74adea29cf7,rasp0,-50,-50,0
rssi,1675256576889729000,d74adea29cf7,rasp0,-51,-52,1
rssi,1675256577354978000,d74adea29cf7,rasp0,-50.666666666666664,-50,0.9428090415820634
rssi,1675256578366584000,d74adea29cf7,rasp0,-51,-52,1
rssi,1675256578910868000,d74adea29cf7,rasp0,-50.8,-50,0.9797958971132712
rssi,1675256579381938000,d74adea29cf7,rasp0,-51.166666666666664,-53,1.2133516482134197
rssi,1675256579884398000,d74adea29cf7,rasp0,-50.857142857142854,-49,1.3552618543578767
rssi,1675256580387879000,d74adea29cf7,rasp0,-51,-52,1.3228756555322954
rssi,1675256580897900000,d74adea29cf7,rasp0,-53.111111111111114,-70,6.09998988058258
rssi,1675256582852381000,d74adea29cf7,rasp0,-52.8,-50,5.861740355901138
rssi,1675256584513628000,d74adea29cf7,rasp0,-52.7,-49,5.916924876994806
rssi,1675256585379821000,d74adea29cf7,rasp0,-52.5,-50,5.9707620954112715
rssi,1675256585884800000,d74adea29cf7,rasp0,-52.6,-51,5.9363288318623315
rssi,1675256586347474000,d74adea29cf7,rasp0,-52.4,-50,5.986651818838306
rssi,1675256586854014000,d74adea29cf7,rasp0,-52.6,-52,5.9363288318623315
rssi,1675256587355433000,d74adea29cf7,rasp0,-52.4,-51,5.9531504264548865
rssi,1675256587857869000,d74adea29cf7,rasp0,-52.4,-49,5.953150426454887
rssi,1675256588382666000,d74adea29cf7,rasp0,-52.2,-50,5.99666574022598
rssi,1675256589372049000,d74adea29cf7,rasp0,-50.1,-49,0.9433981132056604
rssi,1675256589911688000,d74adea29cf7,rasp0,-50.1,-50,0.9433981132056604
rssi,1675256590396521000,d74adea29cf7,rasp0,-50.2,-50,0.8717797887081347
rssi,1675256590890929000,d74adea29cf7,rasp0,-50.3,-51,0.9
rssi,1675256591848047000,d74adea29cf7,rasp0,-50.4,-52,1.019803902718557
rssi,1675256592353735000,d74adea29cf7,rasp0,-50.3,-49,1.1
rssi,1675256592921406000,d74adea29cf7,rasp0,-50.1,-50,0.9433981132056604
rssi,1675256593367581000,d74adea29cf7,rasp0,-50,-50,0.8944271909999159
rssi,1675256593973598000,d74adea29cf7,rasp0,-50.3,-52,1.004987562112089
rssi,1675256594436505000,d74adea29cf7,rasp0,-50.3,-50,1.004987562112089
rssi,1675256594949523000,d74adea29cf7,rasp0,-50.6,-52,1.0198039027185568
rssi,1675256595482682000,d74adea29cf7,rasp0,-50.8,-52,1.0770329614269007
rssi,1675256595890249000,d74adea29cf7,rasp0,-50.8,-50,1.0770329614269007
rssi,1675256596347594000,d74adea29cf7,rasp0,-50.9,-52,1.1357816691600546
rssi,1675256597357908000,d74adea29cf7,rasp0,-50.6,-49,1.2
rssi,1675256597891446000,d74adea29cf7,rasp0,-50.9,-52,1.1357816691600546
rssi,1675256598361194000,d74adea29cf7,rasp0,-50.8,-49,1.2489995996796797
rssi,1675256599375127000,d74adea29cf7,rasp0,-51,-52,1.2649110640673518
rssi,1675256599881432000,d74adea29cf7,rasp0,-50.8,-50,1.2489995996796797
rssi,1675256600428740000,d74adea29cf7,rasp0,-51,-52,1.2649110640673518
rssi,1675256600907945000,d74adea29cf7,rasp0,-50.7,-49,1.345362404707371
rssi,1675256601349744000,d74adea29cf7,rasp0,-50.5,-50,1.284523257866513
rssi,1675256602364160000,d74adea29cf7,rasp0,-50.4,-49,1.3564659966250538
rssi,1675256603902140000,d74adea29cf7,rasp0,-50.2,-50,1.2489995996796797
rssi,1675256604428638000,d74adea29cf7,rasp0,-50.2,-49,1.2489995996796797
rssi,1675256605387003000,d74adea29cf7,rasp0,-49.9,-49,1.1357816691600546
rssi,1675256605897112000,d74adea29cf7,rasp0,-49.9,-49,1.1357816691600546
rssi,1675256606427896000,d74adea29cf7,rasp0,-49.6,-49,0.9165151389911681
rssi,1675256606978306000,d74adea29cf7,rasp0,-49.5,-49,0.9219544457292888
rssi,1675256607860526000,d74adea29cf7,rasp0,-49.4,-51,0.66332495807108
rssi,1675256608864036000,d74adea29cf7,rasp0,-49.7,-52,1.004987562112089
rssi,1675256609366854000,d74adea29cf7,rasp0,-49.6,-49,1.019803902718557
rssi,1675256610377959000,d74adea29cf7,rasp0,-49.6,-49,1.019803902718557
rssi,1675256610936281000,d74adea29cf7,rasp0,-49.7,-51,1.0999999999999999
rssi,1675256611401916000,d74adea29cf7,rasp0,-49.7,-49,1.0999999999999999
