name,time,addr,device,mean,rssi,sd
rssi,1675256430373847000,d74adea29cf7,rasp0,-46,-46,0
rssi,1675256431330120000,d74adea29cf7,rasp0,-46.5,-47,0.5
rssi,1675256431887085000,d74adea29cf7,rasp0,-47,-48,0.816496580927726
rssi,1675256432356894000,d74adea29cf7,rasp0,-47.25,-48,0.82915619758885
rssi,1675256432903068000,d74adea29cf7,rasp0,-47.2,-47,0.7483314773547882
rssi,1675256433342585000,d74adea29cf7,rasp0,-47,-46,0.816496580927726
rssi,1675256433843525000,d74adea29cf7,rasp0,-47.285714285714285,-49,1.0301575072754254
rssi,1675256434902497000,d74adea29cf7,rasp0,-47.25,-47,0.9682458365518543
rssi,1675256435361532000,d74adea29cf7,rasp0,-47.44444444444444,-49,1.0657403385139377
rssi,1675256435859761000,d74adea29cf7,rasp0,-47.4,-47,1.0198039027185568
rssi,1675256436821440000,d74adea29cf7,rasp0,-47.5,-47,0.9219544457292888
rssi,1675256437330411000,d74adea29cf7,rasp0,-47.7,-49,1.004987562112089
rssi,1675256437833355000,d74adea29cf7,rasp0,-47.6,-47,1.0198039027185568
rssi,1675256438339988000,d74adea29cf7,rasp0,-47.7,-49,1.0999999999999999
rssi,1675256438843856000,d74adea29cf7,rasp0,-47.9,-49,1.1357816691600546
rssi,1675256439349775000,d74adea29cf7,rasp0,-48,-47,1
rssi,1675256439874587000,d74adea29cf7,rasp0,-48,-49,1
rssi,1675256440942249000,d74adea29cf7,rasp0,-48.5,-52,1.5
rssi,1675256441319519000,d74adea29cf7,rasp0,-48.3,-47,1.5524174696260025
rssi,1675256441818964000,d74adea29cf7,rasp0,-48.5,-49,1.5
rssi,1675256442361466000,d74adea29cf7,rasp0,-48.7,-49,1.4177446878757827
rssi,1675256442832514000,d74adea29cf7,rasp0,-48.6,-48,1.42828568570857
rssi,1675256443333978000,d74adea29cf7,rasp0,-48.8,-49,1.32664991614216
rssi,1675256443836610000,d74adea29cf7,rasp0,-48.6,-47,1.42828568570857
rssi,1675256445347985000,d74adea29cf7,rasp0,-48.4,-47,1.4966629547095767
rssi,1675256445998614000,d74adea29cf7,rasp0,-48.4,-47,1.4966629547095764
rssi,1675256446818774000,d74adea29cf7,rasp0,-48.2,-47,1.5362291495737217
rssi,1675256448340019000,d74adea29cf7,rasp0,-47.7,-47,0.9
rssi,1675256449353674000,d74adea29cf7,rasp0,-48.1,-51,1.3
rssi,1675256449853037000,d74adea29cf7,rasp0,-47.9,-47,1.3
rssi,1675256450366198000,d74adea29cf7,rasp0,-47.8,-48,1.2489995996796797
