configuration,distance_m,occluded,config_key,fade_depth_std,fade_depth_max,temporal_variation_std,temporal_variation_max,fade_rate_per_sample
bt,3,False,bt_3m,9.880147001596127,29.64935064935065,10.080526221374015,48,7.214564369310793
bt,3,True,bt_3m_occ,9.910740942819354,26.110187110187113,11.895136253656599,46,9.285416666666666
bt,5,False,bt_5m,11.174758770500834,28.406340057636882,12.08629779295289,35,9.378612716763005
bt,5,True,bt_5m_occ,11.406141336520626,27.457671957671963,12.842878993421207,37,10.015915119363395
