name,time,addr,device,mean,rssi,sd
rssi,1675255163376364000,d74adea29cf7,rasp0,-58,-58,0
rssi,1675255164457252000,d74adea29cf7,rasp0,-58,-58,0
rssi,1675255165398861000,d74adea29cf7,rasp0,-60.333333333333336,-65,3.299831645537222
rssi,1675255165905234000,d74adea29cf7,rasp0,-60.25,-60,2.8613807855648994
rssi,1675255166355668000,d74adea29cf7,rasp0,-60,-59,2.6076809620810595
rssi,1675255166859583000,d74adea29cf7,rasp0,-60.166666666666664,-61,2.4094720491334933
rssi,1675255168882492000,d74adea29cf7,rasp0,-62.285714285714285,-75,5.649634266652911
rssi,1675255169383146000,d74adea29cf7,rasp0,-63.125,-69,5.732309743899051
rssi,1675255169884800000,d74adea29cf7,rasp0,-63.77777777777778,-69,5.711154344842843
rssi,1675255170387064000,d74adea29cf7,rasp0,-63.5,-61,5.481788029466299
rssi,1675255170935898000,d74adea29cf7,rasp0,-63.5,-58,5.481788029466299
rssi,1675255172371895000,d74adea29cf7,rasp0,-63.3,-56,5.710516614107694
rssi,1675255172873964000,d74adea29cf7,rasp0,-64.2,-74,6.554387843269576
rssi,1675255176395825000,d74adea29cf7,rasp0,-63.9,-57,6.80367547726962
rssi,1675255178376930000,d74adea29cf7,rasp0,-64.4,-64,6.6060578259654985
rssi,1675255179906567000,d74adea29cf7,rasp0,-65,-67,6.54217089351845
rssi,1675255180445085000,d74adea29cf7,rasp0,-63.3,-58,5.8999999999999995
rssi,1675255180899124000,d74adea29cf7,rasp0,-62.7,-63,5.586591089385369
rssi,1675255182879047000,d74adea29cf7,rasp0,-62.9,-71,5.838664230798
rssi,1675255183386218000,d74adea29cf7,rasp0,-63.2,-64,5.81033561853358
rssi,1675255183903443000,d74adea29cf7,rasp0,-64.7,-73,6.197580172938467
rssi,1675255184397728000,d74adea29cf7,rasp0,-66.4,-73,5.902541825349483
rssi,1675255184905818000,d74adea29cf7,rasp0,-64.6,-56,6.053098380168622
rssi,1675255185915800000,d74adea29cf7,rasp0,-64.5,-56,6.18465843842649
rssi,1675255186362429000,d74adea29cf7,rasp0,-63.7,-56,6.694027188471824
rssi,1675255187969666000,d74adea29cf7,rasp0,-62.6,-56,6.9598850565221255
rssi,1675255189396568000,d74adea29cf7,rasp0,-63,-62,6.797058187186572
rssi,1675255190924084000,d74adea29cf7,rasp0,-64.3,-76,7.836453279386026
rssi,1675255191473130000,d74adea29cf7,rasp0,-62.8,-56,7.8460180983732135
rssi,1675255191905465000,d74adea29cf7,rasp0,-63.1,-67,7.942921376924236
rssi,1675255192378301000,d74adea29cf7,rasp0,-61.4,-56,7.445804187594514
rssi,1675255194408569000,d74adea29cf7,rasp0,-59.7,-56,6.481512169239521
rssi,1675255195421119000,d74adea29cf7,rasp0,-59.7,-56,6.481512169239521
rssi,1675255195930819000,d74adea29cf7,rasp0,-60.6,-65,6.529931086925803
rssi,1675255196369876000,d74adea29cf7,rasp0,-61.6,-66,6.514598989960933
rssi,1675255196927449000,d74adea29cf7,rasp0,-63.7,-77,7.655716818169282
rssi,1675255197383191000,d74adea29cf7,rasp0,-64.1,-66,7.6609398901179215
rssi,1675255199093438000,d74adea29cf7,rasp0,-62.3,-58,6.708949247087803
rssi,1675255199894342000,d74adea29cf7,rasp0,-64.1,-74,7.175653280364095
rssi,1675255200896312000,d74adea29cf7,rasp0,-66,-86,9.746794344808963
rssi,1675255201873677000,d74adea29cf7,rasp0,-69.3,-89,11.269871339105872
rssi,1675255202563102000,d74adea29cf7,rasp0,-72.6,-89,11.714947716485977
rssi,1675255205909088000,d74adea29cf7,rasp0,-74.1,-71,10.377379245262265
rssi,1675255206372709000,d74adea29cf7,rasp0,-74,-64,10.469001862641921
rssi,1675255208896078000,d74adea29cf7,rasp0,-72.9,-55,11.751170154499507
rssi,1675255211877939000,d74adea29cf7,rasp0,-72.3,-71,11.67946916601949
rssi,1675255213901637000,d74adea29cf7,rasp0,-73.2,-75,11.504781614615723
rssi,1675255214405208000,d74adea29cf7,rasp0,-72.9,-55,11.928537211242627
rssi,1675255215415953000,d74adea29cf7,rasp0,-71,-55,13.061393493804557
rssi,1675255216376079000,d74adea29cf7,rasp0,-67.9,-55,12.809761902549164
rssi,1675255216881490000,d74adea29cf7,rasp0,-66.2,-72,10.879338215167317
rssi,1675255217891185000,d74adea29cf7,rasp0,-62.8,-55,8.207313811473277
rssi,1675255218394786000,d74adea29cf7,rasp0,-61.2,-55,8.009993757800315
rssi,1675255221883880000,d74adea29cf7,rasp0,-61.9,-71,8.514105942493316
rssi,1675255222474522000,d74adea29cf7,rasp0,-63.2,-68,8.352245207128439
rssi,1675255222889786000,d74adea29cf7,rasp0,-62.7,-66,8.013114251026252
rssi,1675255223398623000,d74adea29cf7,rasp0,-60.7,-55,7.142128534267638
rssi,1675255223897316000,d74adea29cf7,rasp0,-62.3,-71,7.470609078247905
rssi,1675255224913063000,d74adea29cf7,rasp0,-63.4,-66,7.116178749862878
rssi,1675255225918891000,d74adea29cf7,rasp0,-64,-61,6.618156843109719
rssi,1675255226371161000,d74adea29cf7,rasp0,-63.2,-64,6.063002556489648
rssi,1675255227381435000,d74adea29cf7,rasp0,-64.1,-64,5.412023651093923
