name,time,addr,device,mean,rssi,sd
rssi,1675255811807050000,d74adea29cf7,rasp0,-47,-47,0
rssi,1675255812308319000,d74adea29cf7,rasp0,-47,-47,0
rssi,1675255812809182000,d74adea29cf7,rasp0,-46.666666666666664,-46,0.4714045207910317
rssi,1675255813337384000,d74adea29cf7,rasp0,-47.75,-51,1.920286436967152
rssi,1675255813823900000,d74adea29cf7,rasp0,-47.6,-47,1.7435595774162693
rssi,1675255814330775000,d74adea29cf7,rasp0,-47.833333333333336,-49,1.674979270186815
rssi,1675255815341270000,d74adea29cf7,rasp0,-47.57142857142857,-46,1.6781914463529615
rssi,1675255815882480000,d74adea29cf7,rasp0,-47.75,-49,1.6393596310755
rssi,1675255816304596000,d74adea29cf7,rasp0,-47.888888888888886,-49,1.5947444549341472
rssi,1675255816806873000,d74adea29cf7,rasp0,-47.7,-46,1.6155494421403513
rssi,1675255817312711000,d74adea29cf7,rasp0,-47.9,-49,1.6401219466856725
rssi,1675255819330354000,d74adea29cf7,rasp0,-47.9,-47,1.6401219466856725
rssi,1675255821373433000,d74adea29cf7,rasp0,-48.1,-48,1.5132745950421556
rssi,1675255821856484000,d74adea29cf7,rasp0,-48,-50,1.3416407864998738
rssi,1675255822323350000,d74adea29cf7,rasp0,-47.9,-46,1.445683229480096
rssi,1675255822826072000,d74adea29cf7,rasp0,-48,-50,1.5491933384829668
rssi,1675255823333955000,d74adea29cf7,rasp0,-48.1,-47,1.4456832294800963
rssi,1675255823837928000,d74adea29cf7,rasp0,-48.2,-50,1.5362291495737217
rssi,1675255824342921000,d74adea29cf7,rasp0,-48.1,-48,1.5132745950421558
rssi,1675255824844257000,d74adea29cf7,rasp0,-48.3,-48,1.3453624047073711
rssi,1675255825347744000,d74adea29cf7,rasp0,-48,-46,1.4832396974191326
rssi,1675255826307927000,d74adea29cf7,rasp0,-48.1,-48,1.4456832294800963
rssi,1675255826821856000,d74adea29cf7,rasp0,-48.1,-48,1.4456832294800963
rssi,1675255827320357000,d74adea29cf7,rasp0,-48,-49,1.3416407864998738
rssi,1675255827829758000,d74adea29cf7,rasp0,-48.3,-49,1.1874342087037917
rssi,1675255828334590000,d74adea29cf7,rasp0,-48.2,-49,1.0770329614269007
rssi,1675255829349628000,d74adea29cf7,rasp0,-48.2,-47,1.0770329614269007
rssi,1675255829853667000,d74adea29cf7,rasp0,-47.8,-46,1.0770329614269007
rssi,1675255830357683000,d74adea29cf7,rasp0,-47.8,-48,1.0770329614269007
rssi,1675255831396583000,d74adea29cf7,rasp0,-47.8,-48,1.0770329614269007
rssi,1675255832822478000,d74adea29cf7,rasp0,-47.8,-46,1.0770329614269007
rssi,1675255833326990000,d74adea29cf7,rasp0,-47.9,-49,1.1357816691600546
rssi,1675255834339583000,d74adea29cf7,rasp0,-47.8,-47,1.16619037896906
rssi,1675255834841021000,d74adea29cf7,rasp0,-47.7,-48,1.0999999999999999
