name,time,addr,device,mean,median,rssi,sd
rssi,1685015365635000000,d74adea29cf7,rasp0,-90,-90,-90,0
rssi,1685015367142000000,d74adea29cf7,rasp0,-83,-83,-76,7
rssi,1685015368175000000,d74adea29cf7,rasp0,-81.33333333333333,-78,-78,6.18241233033047
rssi,1685015368649000000,d74adea29cf7,rasp0,-79.75,-77,-75,6.015604707757983
rssi,1685015369180000000,d74adea29cf7,rasp0,-79.2,-77,-77,5.491812087098392
rssi,1685015370166000000,d74adea29cf7,rasp0,-77.66666666666667,-76.5,-70,6.0736223860962
rssi,1685015371140000000,d74adea29cf7,rasp0,-77.57142857142857,-77,-77,5.627918743883489
rssi,1685015371640000000,d74adea29cf7,rasp0,-76.625,-76.5,-70,5.829611908180509
rssi,1685015372148000000,d74adea29cf7,rasp0,-75.88888888888889,-76,-70,5.877347180194753
rssi,1685015373157000000,d74adea29cf7,rasp0,-75.8,-75.5,-75,5.582114294781145
rssi,1685015373667000000,d74adea29cf7,rasp0,-74,-75,-72,3.03315017762062
rssi,1685015374174000000,d74adea29cf7,rasp0,-73,-75,-66,3.7682887362833544
rssi,1685015376137000000,d74adea29cf7,rasp0,-72.9,-75,-77,3.6455452267116364
rssi,1685015376645000000,d74adea29cf7,rasp0,-73.6,-75.5,-82,4.5431266766402185
rssi,1685015377147000000,d74adea29cf7,rasp0,-73.1,-75,-72,4.414748010928823
rssi,1685015377654000000,d74adea29cf7,rasp0,-72.8,-75,-67,4.707440918375928
rssi,1685015378665000000,d74adea29cf7,rasp0,-72.2,-75,-71,4.512205669071391
rssi,1685015379166000000,d74adea29cf7,rasp0,-73.4,-75,-82,5.295280917949491
rssi,1685015380170000000,d74adea29cf7,rasp0,-72.2,-75,-58,7.011419257183242
rssi,1685015380639000000,d74adea29cf7,rasp0,-71.6,-73.5,-69,7.002856560004639
rssi,1685015381648000000,d74adea29cf7,rasp0,-70.4,-72,-60,7.812809993849844
rssi,1685015382178000000,d74adea29cf7,rasp0,-70.6,-72,-68,7.722693830523129
rssi,1685015383169000000,d74adea29cf7,rasp0,-70.7,-72,-78,7.810889834071404
rssi,1685015384181000000,d74adea29cf7,rasp0,-68.7,-72,-62,7.197916365171244
rssi,1685015387650000000,d74adea29cf7,rasp0,-67.4,-72,-59,7.644605941446557
rssi,1685015390173000000,d74adea29cf7,rasp0,-69.4,-72,-87,9.635351576356724
rssi,1685015390632000000,d74adea29cf7,rasp0,-69.2,-72,-69,9.620810776644555
rssi,1685015391142000000,d74adea29cf7,rasp0,-67.3,-71.5,-63,8.74128137060008
rssi,1685015393943000000,d74adea29cf7,rasp0,-67,-71,-55,9.09945053286186
rssi,1685015394182000000,d74adea29cf7,rasp0,-65.9,-70.5,-58,9.449338601193206
rssi,1685015394686000000,d74adea29cf7,rasp0,-66.1,-70,-62,9.342911751697113
rssi,1685015395195000000,d74adea29cf7,rasp0,-66.1,-70,-68,9.342911751697113
rssi,1685015395631000000,d74adea29cf7,rasp0,-65.4,-70,-71,8.662563131083086
rssi,1685015396136000000,d74adea29cf7,rasp0,-66.9,-70.5,-77,9.224424101265075
rssi,1685015396641000000,d74adea29cf7,rasp0,-69.1,-71,-81,9.689685237405806
rssi,1685015398153000000,d74adea29cf7,rasp0,-67.2,-70.5,-68,7.639371701913712
rssi,1685015399668000000,d74adea29cf7,rasp0,-66.7,-70,-64,7.668767828015136
rssi,1685015401761000000,d74adea29cf7,rasp0,-66.3,-70,-59,7.950471684120383
rssi,1685015402647000000,d74adea29cf7,rasp0,-66.6,-70,-58,7.565712127751095
rssi,1685015403322000000,d74adea29cf7,rasp0,-66.6,-70,-58,7.565712127751095
rssi,1685015405925000000,d74adea29cf7,rasp0,-66.3,-70,-59,7.798076685952761
rssi,1685015406136000000,d74adea29cf7,rasp0,-64.8,-69.5,-53,8.71550342780037
rssi,1685015407644000000,d74adea29cf7,rasp0,-65.7,-70,-80,9.716480844420989
rssi,1685015408151000000,d74adea29cf7,rasp0,-64.3,-69.5,-63,8.967162315916893
rssi,1685015409160000000,d74adea29cf7,rasp0,-60.7,-69,-45,8.764131445842194
rssi,1685015411141000000,d74adea29cf7,rasp0,-61.2,-69.5,-73,9.293008124391154
rssi,1685015411694000000,d74adea29cf7,rasp0,-59.5,-69,-47,10.141498903022176
rssi,1685015412658000000,d74adea29cf7,rasp0,-59.2,-69,-56,10.196077677224707
rssi,1685015415188000000,d74adea29cf7,rasp0,-60.5,-69,-71,10.772650555921695
rssi,1685015419169000000,d74adea29cf7,rasp0,-62.4,-69.5,-77,11.79152237838694
rssi,1685015419770000000,d74adea29cf7,rasp0,-65.2,-70,-87,13.804347141389918
rssi,1685015422646000000,d74adea29cf7,rasp0,-68.7,-70,-88,14.676852523616908
rssi,1685015423651000000,d74adea29cf7,rasp0,-68.8,-70,-81,14.756693396557374
rssi,1685015424173000000,d74adea29cf7,rasp0,-70.2,-70,-77,14.804053498957641
rssi,1685015425742000000,d74adea29cf7,rasp0,-72.1,-70,-64,12.485591696031069
rssi,1685015427660000000,d74adea29cf7,rasp0,-73,-70,-82,12.83744522870497
rssi,1685015429668000000,d74adea29cf7,rasp0,-76.1,-70,-78,9.491575211733824
rssi,1685015431151000000,d74adea29cf7,rasp0,-77.5,-70,-70,7.172865536171719
rssi,1685015431647000000,d74adea29cf7,rasp0,-77.2,-70,-68,7.493997598078078
rssi,1685015433161000000,d74adea29cf7,rasp0,-78.2,-70,-87,8.047359815492284
rssi,1685015434162000000,d74adea29cf7,rasp0,-77.8,-70,-83,7.691553809211765
rssi,1685015435163000000,d74adea29cf7,rasp0,-77.6,-70.5,-86,7.445804187594514
