name,time,location
buttons,1685016627000000000,start
buttons,1685016632265000000,approach
buttons,1685016637013000000,centre
buttons,1685016641965000000,depart
buttons,1685016657575000000,depart
buttons,1685016662756000000,centre
buttons,1685016667604000000,approach
buttons,1685016677551000000,start
buttons,1685016687789000000,centre
buttons,1685016692604000000,depart
buttons,1685016715826000000,centre
buttons,1685016720670000000,approach
buttons,1685016738792000000,approach
buttons,1685016743761000000,centre
buttons,1685016748849000000,depart
buttons,1685016775468000000,depart
buttons,1685016780502000000,centre
buttons,1685016785459000000,approach
buttons,1685016801377000000,approach
buttons,1685016806324000000,centre
buttons,1685016811289000000,depart
buttons,1685016826897000000,depart
buttons,1685016831850000000,centre
buttons,1685016836920000000,approach
buttons,1685016854640000000,approach
buttons,1685016859586000000,centre
buttons,1685016864620000000,depart
buttons,1685016875336000000,end
buttons,1685016880431000000,depart
buttons,1685016885515000000,centre
buttons,1685016890484000000,approach
buttons,1685016895812000000,start
buttons,1685016903821000000,start
buttons,1685016909310000000,approach
buttons,1685016914247000000,centre
buttons,1685016919256000000,depart
buttons,1685016935366000000,depart
buttons,1685016940585000000,centre
buttons,1685016946253000000,approach
