name,time,location
buttons,1685015403686000000,start
buttons,1685015414097000000,centre
buttons,1685015419139000000,depart
buttons,1685015431925000000,end
buttons,1685015442628000000,centre
buttons,1685015447655000000,approach
buttons,1685015452844000000,start
buttons,1685015535557000000,approach
buttons,1685015540459000000,centre
buttons,1685015546203000000,depart
buttons,1685015551304000000,end
buttons,1685015557406000000,end
buttons,1685015562412000000,depart
buttons,1685015567596000000,centre
buttons,1685015572603000000,approach
buttons,1685015584316000000,start
buttons,1685015589523000000,approach
buttons,1685015594421000000,centre
buttons,1685015604726000000,end
buttons,1685015614333000000,end
buttons,1685015619550000000,depart
buttons,1685015624552000000,centre
buttons,1685015629375000000,approach
buttons,1685015644399000000,approach
buttons,1685015649177000000,centre
buttons,1685015653876000000,depart
buttons,1685015658363000000,end
buttons,1685015665469000000,end
buttons,1685015670384000000,depart
buttons,1685015675319000000,centre
buttons,1685015680048000000,approach
buttons,1685015688833000000,start
buttons,1685015698769000000,approach
buttons,1685015703551000000,centre
buttons,1685015713304000000,end
buttons,1685015730495000000,centre
buttons,1685015735404000000,approach
buttons,1685015755925000000,centre
buttons,1685015761047000000,depart
buttons,1685015765932000000,end
buttons,1685015773536000000,end
buttons,1685015778661000000,depart
buttons,1685015783858000000,centre
buttons,1685015788870000000,approach
buttons,1685015799766000000,start
buttons,1685015805187000000,approach
buttons,1685015810294000000,centre
buttons,1685015815878000000,depart
buttons,1685015821160000000,end
buttons,1685015834090000000,depart
buttons,1685015839533000000,centre
