name,time,location
buttons,1685014718493000000,start
buttons,1685014723547000000,approach
buttons,1685014728965000000,centre
buttons,1685014735450000000,depart
buttons,1685014740554000000,end
buttons,1685014748915000000,end
buttons,1685014754402000000,depart
buttons,1685014760392000000,centre
buttons,1685014765389000000,approach
buttons,1685014772360000000,start
buttons,1685014806773000000,start
buttons,1685014811746000000,approach
buttons,1685014817028000000,centre
buttons,1685014822174000000,depart
buttons,1685014827727000000,end
buttons,1685014833128000000,end
buttons,1685014844179000000,depart
buttons,1685014848704000000,centre
buttons,1685014853753000000,approach
buttons,1685014858911000000,start
buttons,1685014863601000000,start
buttons,1685014868046000000,approach
buttons,1685014872868000000,centre
buttons,1685014879597000000,depart
buttons,1685014883930000000,end
buttons,1685014888834000000,end
buttons,1685014893847000000,depart
buttons,1685014900055000000,centre
buttons,1685014904511000000,approach
buttons,1685014910603000000,start
buttons,1685014916507000000,start
buttons,1685014921381000000,approach
buttons,1685014926973000000,centre
buttons,1685014932185000000,depart
buttons,1685014937025000000,end
buttons,1685014941131000000,end
buttons,1685014946402000000,depart
buttons,1685014951423000000,centre
buttons,1685014956372000000,approach
buttons,1685014961897000000,start
buttons,1685014966137000000,start
buttons,1685014971865000000,approach
buttons,1685014976807000000,centre
buttons,1685014982841000000,depart
buttons,1685014986930000000,end
buttons,1685014992814000000,end
buttons,1685014997835000000,depart
buttons,1685015002917000000,centre
buttons,1685015007908000000,approach
buttons,1685015012817000000,start
buttons,1685015017694000000,start
buttons,1685015022713000000,approach
buttons,1685015028224000000,centre
buttons,1685015033074000000,depart
buttons,1685015039198000000,end
buttons,1685015044233000000,end
buttons,1685015049323000000,depart
buttons,1685015054398000000,centre
buttons,1685015059111000000,approach
buttons,1685015065135000000,start
buttons,1685015071626000000,start
buttons,1685015076542000000,approach
buttons,1685015081461000000,centre
buttons,1685015086582000000,depart
buttons,1685015091896000000,end
buttons,1685015096379000000,end
buttons,1685015101490000000,depart
buttons,1685015106353000000,centre
buttons,1685015111133000000,approach
buttons,1685015116129000000,start
buttons,1685015121498000000,start
buttons,1685015126678000000,approach
buttons,1685015131686000000,centre
buttons,1685015136582000000,depart
buttons,1685015141620000000,end
buttons,1685015146670000000,end
buttons,1685015151636000000,depart
buttons,1685015156507000000,centre
buttons,1685015161115000000,approach
buttons,1685015167381000000,start
